都道府県,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
　北海道,0.037157570989199626,0.00261068593090623,0.021243115656963022,0.0014305128388527287,0.1203418925684858,0.0959874114870181,0.0365138402117159,0.003254416708389958,0.004327301337529505,0.007009512910378371,0.014340891209498606,0.005722051355410915,0.019490737429368427,0.05596881482011301,0.17977970102281668,0.045704885201344685,0.134074815821472,0.02467634647020957,0.011587153994707102,0.06408697518060225,0.04591946212717259,0.09262570631571418,0.04638437879979973,0.016307846362921107,0.14183534797224806,0.0268936413704313,0.07917888563049853,0.04974608397110364,0.012946141191617196
　青森県,0.11326949384404925,0.0027359781121751026,0.019015047879616963,0.0005471956224350205,0.13283173734610124,0.11436388508891929,0.031326949384404924,0.014637482900136799,0.003283173734610123,0.006703146374829001,0.0347469220246238,0.003283173734610123,0.008344733242134063,0.043091655266757865,0.1734610123119015,0.043365253077975376,0.13009575923392613,0.024760601915184678,0.00506155950752394,0.04719562243502052,0.032694938440492476,0.08221614227086184,0.03980848153214774,0.014363885088919288,0.11846785225718194,0.0280437756497948,0.0600547195622435,0.05088919288645691,0.006292749658002736
　岩手県,0.1087351502445842,0.004332634521313767,0.009923130677847659,0.0016771488469601676,0.10887491264849755,0.16729559748427672,0.034102026554856744,0.014954577218728162,0.009643605870020965,0.012019566736547868,0.06359189378057302,0.005590496156533892,0.010482180293501049,0.0519916142557652,0.16659678546471,0.041928721174004195,0.1246680642907058,0.02194269741439553,0.004472396925227114,0.048078266946191474,0.03200559049615653,0.0756114605171209,0.04262753319357093,0.01551362683438155,0.1140461215932914,0.028092243186582808,0.058001397624039136,0.03801537386443047,0.004332634521313767
　宮城県,0.04342622670541973,0.0010258163788681826,0.010258163788681825,0.0005129081894340913,0.09787997948367243,0.15199179346896904,0.030689006667806464,0.0117968883569841,0.011369464865789023,0.009317832108052659,0.05402632928705762,0.004616173704906822,0.020601812275602666,0.06001025816378868,0.20088904086168577,0.06710548811762694,0.13378355274405881,0.02410668490340229,0.01000170969396478,0.05804411010429133,0.04573431355787314,0.06847324328945119,0.05060694135749701,0.012993674132330314,0.12968028722858607,0.0275260728329629,0.07112326893486066,0.04077620106001026,0.014104975209437511
　秋田県,0.09211908931698774,0.0036777583187390544,0.0017513134851138354,0.0015761821366024518,0.12329246935201402,0.1637478108581436,0.020140105078809107,0.028896672504378284,0.006479859894921191,0.009807355516637478,0.063922942206655,0.005253940455341506,0.008056042031523642,0.043782837127845885,0.16987740805604204,0.04483362521891419,0.12486865148861646,0.026795096322241682,0.005429071803852889,0.05131348511383538,0.033800350262697024,0.08371278458844134,0.03765323992994746,0.019439579684763574,0.1169877408056042,0.03257443082311734,0.05586690017513135,0.03800350262697023,0.007530647985989492
　山形県,0.09898637947418436,0.0012670256572695597,0.0012670256572695597,0.0009502692429521698,0.1130820399113082,0.21887868229331645,0.03025023756731074,0.025498891352549888,0.011244852708267342,0.013620525815647768,0.09518530250237567,0.004592968007602154,0.010928096293949953,0.033576179917643334,0.1609122584732341,0.0440291415901172,0.11688311688311688,0.026765917009819448,0.004592968007602154,0.04371238517579981,0.02771618625277162,0.07380424453595186,0.04165346848273677,0.017104846373139058,0.10547988596769084,0.029616724738675958,0.050364269876465,0.038169147925245485,0.0042762115932847644
　福島県,0.07914489311163896,0.0011401425178147269,0.0045605700712589075,0.0010451306413301663,0.11040380047505938,0.2171021377672209,0.02156769596199525,0.020712589073634203,0.022042755344418054,0.014061757719714964,0.0952019002375297,0.007410926365795724,0.009501187648456057,0.04731591448931116,0.16142517814726842,0.03895486935866983,0.12247030878859858,0.021377672209026127,0.00665083135391924,0.0494061757719715,0.03353919239904988,0.07648456057007126,0.039144893111638955,0.014061757719714964,0.11353919239904989,0.028598574821852733,0.05681710213776722,0.03477434679334917,0.0055106888361045134
　茨城県,0.07924673822225078,0.0012211581721190308,0.0012854296548621376,0.000578443344687962,0.09492898001156887,0.22450028922167234,0.03194292692332412,0.00886946461854875,0.027765280545022173,0.023844720097692652,0.08548107204833215,0.008483835722090109,0.0177389292370975,0.05379523105598046,0.15193778520470466,0.03965550485249695,0.11228228035220772,0.022944919339289157,0.00886946461854875,0.04306189343788161,0.03875570409409345,0.05765152002056687,0.04756089722989909,0.010219165756153994,0.12867150845169997,0.019924159650363135,0.06851340060415194,0.03579921588791053,0.011376052445529918
　栃木県,0.0705030487804878,0.000857469512195122,0.0002858231707317073,0.0011432926829268292,0.08450838414634146,0.25524009146341464,0.02305640243902439,0.013528963414634146,0.03477515243902439,0.02381859756097561,0.10880335365853659,0.004763719512195122,0.011528201219512195,0.04763719512195122,0.16206173780487804,0.04096798780487805,0.12109375,0.021246189024390245,0.009813262195121951,0.054496951219512195,0.039253048780487805,0.0625,0.03991996951219512,0.01095655487804878,0.12623856707317074,0.024771341463414635,0.06335746951219512,0.026391006097560975,0.010099085365853659
　群馬県,0.05942642219087917,0.001222378937470616,0.0005641748942172073,9.402914903620122e-05,0.0922425952045134,0.2611189468735308,0.02933709449929478,0.015702867889045603,0.027268453220498354,0.024165491302303714,0.12496473906911143,0.004137282557592854,0.01683121767748002,0.047014574518100614,0.1606017865538317,0.04184297132110954,0.11875881523272215,0.022755054066760694,0.007992477668077104,0.05557122708039492,0.04221908791725435,0.07023977433004232,0.036013164080865065,0.012129760225669958,0.1153737658674189,0.028490832157968972,0.05679360601786554,0.029431123648330983,0.007146215326751293
